fiscalDateEnding,totalAssets,inventory,totalLiabilities,company
2022-12-31,127243000000,1552000000,105222000000,IBM
2021-12-31,132001000000,1649000000,113005000000,IBM
2020-12-31,155971000000,1812000000,135244000000,IBM
2019-12-31,152186000000,1619000000,131202000000,IBM
2018-12-31,123382000000,1682000000,106452000000,IBM
2022-09-30,352755000000,4946000000,302083000000,AAPL
2021-09-30,351002000000,6580000000,287912000000,AAPL
2020-09-30,323888000000,4061000000,258549000000,AAPL
2019-09-30,338516000000,4106000000,248028000000,AAPL
2018-09-30,365725000000,3956000000,258578000000,AAPL
2022-12-31,32109000000,680000000,23605000000,UBER
2021-12-31,38774000000,1643000000,23425000000,UBER
2020-12-31,33252000000,767000000,19498000000,UBER
2019-12-31,31761000000,99000000,16578000000,UBER
2018-12-31,23988000000,738000000,17196000000,UBER
